Period,Scenario,LoadLevel,Nuclear,DomesticCoal_Anthracite,BrownLignite,ImportedCoal_SubBituminous,ImportedCoal_Bituminous,CCGT_1,CCGT_2,CCGT_3,CCGT_4,OCGT_1,OCGT_2,OCGT_3,FuelOilGas,WindFarm_1,SolarPV_1,ESS1,CCGT_5,CCGT_6,CCGT_7,CCGT_8,SolarPV_2
2045,sc01,03-28 22:00:00+01:00,,,,,,,,,,,,,,178.73265,0,,,,,,0
2045,sc01,03-28 23:00:00+01:00,,,,,,,,,,,,,,175.196575,0,,,,,,0
2045,sc01,03-29 00:00:00+01:00,,,,,,,,,,,,,,168.9986,0,,,,,,0
2045,sc01,03-29 01:00:00+01:00,,,,,,,,,,,,,,164.87875,0,,,,,,0
2045,sc01,03-29 02:00:00+01:00,,,,,,,,,,,,,,167.67535,0,,,,,,0
2045,sc01,03-29 03:00:00+01:00,,,,,,,,,,,,,,179.6973,0,,,,,,0
2045,sc01,03-29 04:00:00+01:00,,,,,,,,,,,,,,186.998325,0,,,,,,0
2045,sc01,03-29 05:00:00+01:00,,,,,,,,,,,,,,191.57965,0.1368,,,,,,0.1368
2045,sc01,03-29 06:00:00+01:00,,,,,,,,,,,,,,192.0481,0.272925,,,,,,0.272925
2045,sc01,03-29 07:00:00+01:00,,,,,,,,,,,,,,175.5426,6.059325,,,,,,6.059325
2045,sc01,03-29 08:00:00+01:00,,,,,,,,,,,,,,164.30255,31.19445,,,,,,31.19445
2045,sc01,03-29 09:00:00+01:00,,,,,,,,,,,,,,164.654125,53.941775,,,,,,53.941775
2045,sc01,03-29 10:00:00+01:00,,,,,,,,,,,,,,161.82035,71.388575,,,,,,71.388575
2045,sc01,03-29 11:00:00+01:00,,,,,,,,,,,,,,160.94585,79.7702,,,,,,79.7702
2045,sc01,03-29 12:00:00+01:00,,,,,,,,,,,,,,164.314975,82.72065,,,,,,82.72065
2045,sc01,03-29 13:00:00+01:00,,,,,,,,,,,,,,189.42205,83.08405,,,,,,83.08405
2045,sc01,03-29 14:00:00+01:00,,,,,,,,,,,,,,205.64215,79.18415,,,,,,79.18415
2045,sc01,03-29 15:00:00+01:00,,,,,,,,,,,,,,203.3349,69.24815,,,,,,69.24815
2045,sc01,03-29 16:00:00+01:00,,,,,,,,,,,,,,194.63765,56.543125,,,,,,56.543125
2045,sc01,03-29 17:00:00+01:00,,,,,,,,,,,,,,195.29415,35.54235,,,,,,35.54235
2045,sc01,03-29 18:00:00+01:00,,,,,,,,,,,,,,205.32795,12.08565,,,,,,12.08565
2045,sc01,03-29 19:00:00+01:00,,,,,,,,,,,,,,205.80915,0.614375,,,,,,0.614375
2045,sc01,03-29 20:00:00+01:00,,,,,,,,,,,,,,201.5423,0,,,,,,0
2045,sc01,03-29 21:00:00+01:00,,,,,,,,,,,,,,195.11085,0,,,,,,0
2045,sc01,03-29 22:00:00+01:00,,,,,,,,,,,,,,195.093275,0,,,,,,0
2045,sc01,03-29 23:00:00+01:00,,,,,,,,,,,,,,190.355925,0,,,,,,0
2045,sc01,03-30 00:00:00+01:00,,,,,,,,,,,,,,203.2804,0,,,,,,0
2045,sc01,03-30 01:00:00+01:00,,,,,,,,,,,,,,211.72775,0,,,,,,0
2045,sc01,03-30 02:00:00+01:00,,,,,,,,,,,,,,209.738225,0,,,,,,0
2045,sc01,03-30 03:00:00+01:00,,,,,,,,,,,,,,196.53825,0,,,,,,0
2045,sc01,03-30 04:00:00+01:00,,,,,,,,,,,,,,193.680425,0,,,,,,0
2045,sc01,03-30 05:00:00+01:00,,,,,,,,,,,,,,214.06395,0,,,,,,0
2045,sc01,03-30 06:00:00+01:00,,,,,,,,,,,,,,221.772875,0.1583,,,,,,0.1583
2045,sc01,03-30 07:00:00+01:00,,,,,,,,,,,,,,222.399275,4.053225,,,,,,4.053225
2045,sc01,03-30 08:00:00+01:00,,,,,,,,,,,,,,213.828625,27.616075,,,,,,27.616075
2045,sc01,03-30 09:00:00+01:00,,,,,,,,,,,,,,197.2064,51.59965,,,,,,51.59965
2045,sc01,03-30 10:00:00+01:00,,,,,,,,,,,,,,202.26345,67.648275,,,,,,67.648275
2045,sc01,03-30 11:00:00+01:00,,,,,,,,,,,,,,209.681275,77.936,,,,,,77.936
2045,sc01,03-30 12:00:00+01:00,,,,,,,,,,,,,,212.287975,83.50445,,,,,,83.50445
2045,sc01,03-30 13:00:00+01:00,,,,,,,,,,,,,,208.468925,84.521425,,,,,,84.521425
2045,sc01,03-30 14:00:00+01:00,,,,,,,,,,,,,,207.995475,81.819575,,,,,,81.819575
2045,sc01,03-30 15:00:00+01:00,,,,,,,,,,,,,,201.9883,74.526125,,,,,,74.526125
2045,sc01,03-30 16:00:00+01:00,,,,,,,,,,,,,,198.912275,62.23225,,,,,,62.23225
2045,sc01,03-30 17:00:00+01:00,,,,,,,,,,,,,,197.750675,45.3051,,,,,,45.3051
2045,sc01,03-30 18:00:00+01:00,,,,,,,,,,,,,,196.62625,19.83955,,,,,,19.83955
2045,sc01,03-30 19:00:00+01:00,,,,,,,,,,,,,,189.11875,1.487975,,,,,,1.487975
2045,sc01,03-30 20:00:00+01:00,,,,,,,,,,,,,,196.824775,0,,,,,,0
2045,sc01,03-30 21:00:00+01:00,,,,,,,,,,,,,,200.094375,0,,,,,,0
2045,sc01,03-30 22:00:00+01:00,,,,,,,,,,,,,,196.36645,0,,,,,,0
2045,sc01,03-30 23:00:00+01:00,,,,,,,,,,,,,,194.7299,0,,,,,,0
2045,sc01,03-31 00:00:00+01:00,,,,,,,,,,,,,,182.64645,0,,,,,,0
2045,sc01,03-31 01:00:00+01:00,,,,,,,,,,,,,,166.8106,0,,,,,,0
2045,sc01,03-31 02:00:00+01:00,,,,,,,,,,,,,,152.1069,0,,,,,,0
2045,sc01,03-31 03:00:00+01:00,,,,,,,,,,,,,,139.26855,0,,,,,,0
2045,sc01,03-31 04:00:00+01:00,,,,,,,,,,,,,,132.5719,0,,,,,,0
2045,sc01,03-31 05:00:00+01:00,,,,,,,,,,,,,,128.27015,0.01045,,,,,,0.01045
2045,sc01,03-31 06:00:00+01:00,,,,,,,,,,,,,,134.469675,0.1716,,,,,,0.1716
2045,sc01,03-31 07:00:00+01:00,,,,,,,,,,,,,,135.6546,7.15795,,,,,,7.15795
2045,sc01,03-31 08:00:00+01:00,,,,,,,,,,,,,,126.20575,36.4258,,,,,,36.4258
2045,sc01,03-31 09:00:00+01:00,,,,,,,,,,,,,,120.3923,61.15665,,,,,,61.15665
2045,sc01,03-31 10:00:00+01:00,,,,,,,,,,,,,,124.3459,76.510825,,,,,,76.510825
2045,sc01,03-31 11:00:00+01:00,,,,,,,,,,,,,,129.7246,85.847175,,,,,,85.847175
2045,sc01,03-31 12:00:00+01:00,,,,,,,,,,,,,,132.71055,90.218375,,,,,,90.218375
2045,sc01,03-31 13:00:00+01:00,,,,,,,,,,,,,,139.0249,90.59265,,,,,,90.59265
2045,sc01,03-31 14:00:00+01:00,,,,,,,,,,,,,,146.898775,87.502225,,,,,,87.502225
2045,sc01,03-31 15:00:00+01:00,,,,,,,,,,,,,,154.42625,80.486,,,,,,80.486
2045,sc01,03-31 16:00:00+01:00,,,,,,,,,,,,,,164.29695,67.385025,,,,,,67.385025
2045,sc01,03-31 17:00:00+01:00,,,,,,,,,,,,,,171.188525,47.995875,,,,,,47.995875
2045,sc01,03-31 18:00:00+01:00,,,,,,,,,,,,,,185.42215,20.628725,,,,,,20.628725
2045,sc01,03-31 19:00:00+01:00,,,,,,,,,,,,,,198.266225,1.535925,,,,,,1.535925
2045,sc01,03-31 20:00:00+01:00,,,,,,,,,,,,,,208.96985,0,,,,,,0
2045,sc01,03-31 21:00:00+01:00,,,,,,,,,,,,,,212.610675,0,,,,,,0
2045,sc01,03-31 22:00:00+01:00,,,,,,,,,,,,,,211.259725,0,,,,,,0
2045,sc01,03-31 23:00:00+01:00,,,,,,,,,,,,,,211.3343,0,,,,,,0
2045,sc01,04-01 00:00:00+01:00,,,,,,,,,,,,,,199.971425,0,,,,,,0
2045,sc01,04-01 01:00:00+01:00,,,,,,,,,,,,,,191.760425,0,,,,,,0
2045,sc01,04-01 02:00:00+01:00,,,,,,,,,,,,,,187.549725,0,,,,,,0
