,Demand,Solar,Wind,Hydro
01-15 06:00:00+01:00,6339.138175,0.57,1095.4,103.8
01-15 07:00:00+01:00,6330.95001,805.51,1175,121
01-15 08:00:00+01:00,6254.954079,1371,1305.4,116.2
01-15 09:00:00+01:00,6200.027251,1572.1,1189.2,119.8
01-15 10:00:00+01:00,6181.932564,1529.6,992.3,127
01-15 11:00:00+01:00,6146.643712,1566.6,864,131.8
01-15 12:00:00+01:00,6097.535263,1639.51,735.7,134.8
01-15 13:00:00+01:00,6055.678695,1750.71,736.7,97.8
01-15 14:00:00+01:00,6002.143326,1329.84,651.3,99.8
01-15 15:00:00+01:00,5994.470738,953.83,579.5,95.8
01-15 16:00:00+01:00,6186.21742,0.57,437.6,99.4
01-15 17:00:00+01:00,6698.798925,0.57,20.63,97
01-15 18:00:00+01:00,6753.541519,0.57,0.04,111.4
01-15 19:00:00+01:00,6667.551576,0.57,4.63,171.8
01-15 20:00:00+01:00,6476.196495,0.57,0.04,169.4
01-15 21:00:00+01:00,6167.02419,0.57,42.12,131.8
01-15 22:00:00+01:00,5801.094031,0.57,13.23,105.4
01-15 23:00:00+01:00,5543.831754,0.57,75.32,90.6
01-16 00:00:00+01:00,5371.161939,0.57,42.42,90.6
01-16 01:00:00+01:00,5316.502731,0.57,78.41,96.6
01-16 02:00:00+01:00,5287.555171,0.57,291.4,117.4
01-16 03:00:00+01:00,5330.650934,0.57,704.9,95.8
01-16 04:00:00+01:00,5466.422648,0.57,767.8,95.4
01-16 05:00:00+01:00,5764.4894,0.57,785.7,103.6
01-16 06:00:00+01:00,6094.995248,0.57,892.5,94.2
01-16 07:00:00+01:00,6133.096568,893.61,1010.4,99
01-16 08:00:00+01:00,6137.912564,1613.4,1219,98.2
01-16 09:00:00+01:00,6137.93538,2100.3,1203.8,99.4
01-16 10:00:00+01:00,6125.467349,2320.3,1058,103.2
01-16 11:00:00+01:00,6102.995469,2424.9,869.1,115
01-16 12:00:00+01:00,6062.374264,2387.6,809.3,114.6
01-16 13:00:00+01:00,6029.344601,2243.3,831.3,117.4
01-16 14:00:00+01:00,5985.779042,1928.7,865.4,115
01-16 15:00:00+01:00,5973.950315,1295.5,973.3,121.4
01-16 16:00:00+01:00,6109.817384,14.44,1104.7,121
01-16 17:00:00+01:00,6640.176758,0.57,1288.5,175.8
01-16 18:00:00+01:00,6753.444034,0.57,1698.3,197
01-16 19:00:00+01:00,6680.892704,0.57,2015.8,197.8
01-16 20:00:00+01:00,6542.520278,0.57,2110.1,200.2
01-16 21:00:00+01:00,6251.600333,0.57,2057.9,135.4
01-16 22:00:00+01:00,5915.507965,0.57,2283.5,143.8
01-16 23:00:00+01:00,5660.031115,0.57,2324.2,123
01-17 00:00:00+01:00,5510.956149,0.57,2363,106.8
01-17 01:00:00+01:00,5446.13219,0.57,2410.7,94
01-17 02:00:00+01:00,5435.684169,0.57,2333.2,114
01-17 03:00:00+01:00,5490.980889,0.57,2435.6,120.4
01-17 04:00:00+01:00,5663.662315,0.57,2433.1,107.2
01-17 05:00:00+01:00,6011.932467,0.57,2315.5,121
01-17 06:00:00+01:00,6369.205098,0.57,2414.8,100.2
01-17 07:00:00+01:00,6361.302733,897.51,2386.4,94.6
01-17 08:00:00+01:00,6281.060514,1581.3,2366.6,88.6
01-17 09:00:00+01:00,6231.810544,2068.2,2443.4,94.6
01-17 10:00:00+01:00,6158.137418,2259.4,2360.2,87.4
01-17 11:00:00+01:00,6098.424075,2338.2,2404.9,102.8
01-17 12:00:00+01:00,6025.428891,2321.4,2464.4,168.6
01-17 13:00:00+01:00,5976.009067,2182.6,2391.2,191.8
01-17 14:00:00+01:00,5912.81306,1910.8,2329.9,169.8
01-17 15:00:00+01:00,5879.000283,1282.6,2438.1,169.4
01-17 16:00:00+01:00,5980.424546,41.48,2090.2,182.6
01-17 17:00:00+01:00,6468.537079,0.57,2336.3,245.6
01-17 18:00:00+01:00,6553.883003,0.57,2290.2,250.8
01-17 19:00:00+01:00,6487.906743,0.57,2362.1,276.4
01-17 20:00:00+01:00,6387.853911,0.57,2191.6,198
01-17 21:00:00+01:00,6213.468569,0.57,2143.6,145.8
01-17 22:00:00+01:00,5966.620865,0.57,1969.6,142.6
01-17 23:00:00+01:00,5751.535768,0.57,1941.8,99
01-18 00:00:00+01:00,5596.348846,0.57,2002.6,99
01-18 01:00:00+01:00,5518.183114,0.57,1779.3,101
01-18 02:00:00+01:00,5489.194867,0.57,1664.3,97.4
01-18 03:00:00+01:00,5512.176581,0.57,1420.5,86.6
01-18 04:00:00+01:00,5594.203109,0.57,1338.2,140.2
01-18 05:00:00+01:00,5763.136274,0.57,1237.3,145
01-18 06:00:00+01:00,5947.180174,0.57,1202.5,152.4
01-18 07:00:00+01:00,5978.452901,900.81,1266.1,165.8
01-18 08:00:00+01:00,6003.68212,1599.2,1239,238.2
01-18 09:00:00+01:00,5991.852844,2072.3,1123.1,167.8
01-18 10:00:00+01:00,5922.413317,2283.4,747.1,165.4
01-18 11:00:00+01:00,5808.184605,2346.6,606.5,165.2
01-18 12:00:00+01:00,5715.314573,2313.5,509.2,165.4
01-18 13:00:00+01:00,5625.505196,2180.9,458,167.4
01-18 14:00:00+01:00,5563.623215,1879.9,365.3,168.2
01-18 15:00:00+01:00,5544.250342,1197.3,224.9,162
01-18 16:00:00+01:00,5677.482854,60.76,154,218.2
01-18 17:00:00+01:00,6146.121239,0.57,135.1,317
01-18 18:00:00+01:00,6288.553517,0.57,128.2,317.4
01-18 19:00:00+01:00,6223.947586,0.57,66.9,343.4
